city,date,temp,humidity,rainfall,wind_speed,uv_index,sunrise,sunset,moonrise,moonset,moon_phase,illumination
Binh Phuoc,2024-05-24,30.4,-0.7896116906200035,-0.25353085311769774,0.42830184021934586,1.8047961463778204,5.533333333333333,18.183333333333334,18.966666666666665,5.766666666666667,1,1.456733998754257
Tay Ninh,2024-05-24,31.0,-0.951559258707786,-0.3401324107347091,1.0817327074035816,1.0744067553821028,5.533333333333333,18.216666666666665,19.016666666666666,5.75,1,1.456733998754257
Binh Duong,2024-05-24,26.2,0.9918115583456053,1.3831511095229916,-0.5138542938602496,-0.38637202660933245,5.25,18.2,19.033333333333335,5.433333333333334,1,1.456733998754257
Dong Nai,2024-05-24,25.7,0.910837774301714,-0.2806485125735296,-1.33444189451022,-0.38637202660933245,5.316666666666666,18.4,19.266666666666666,5.5,1,1.456733998754257
Ba Ria - Vung Tau,2024-05-24,29.7,-0.3037689863566556,-0.41186299381142555,0.5346743069702684,1.0744067553821028,5.483333333333333,18.133333333333333,18.916666666666668,5.716666666666667,1,1.456733998754257
Long An,2024-05-24,30.6,-0.7896116906200035,-0.255280379534203,0.2611451067536115,0.3440173643863852,5.583333333333333,18.25,19.05,5.833333333333333,1,1.456733998754257
Tien Giang,2024-05-24,28.4,-0.3037689863566556,-0.40224059852064653,0.30673330678972105,0.3440173643863852,5.283333333333333,18.533333333333335,19.433333333333334,5.45,1,1.456733998754257
Ben Tre,2024-05-24,29.6,-0.3037689863566556,-0.39261820322986746,-0.2403250936435927,1.0744067553821028,5.533333333333333,18.183333333333334,18.966666666666665,5.783333333333333,1,1.456733998754257
Tra Vinh,2024-05-24,30.0,-0.5466903384883295,-0.461724496681826,0.30673330678972105,1.8047961463778204,5.55,18.166666666666668,18.95,5.783333333333333,1,1.456733998754257
Vinh Long,2024-05-24,29.5,-0.3037689863566556,-0.34800527960898286,-0.8329716941130157,1.0744067553821028,5.566666666666666,18.2,18.983333333333334,5.8,1,1.456733998754257
Dong Thap,2024-05-24,28.6,-0.3847427704005469,-0.21854032478759214,0.033204106573064184,0.3440173643863852,5.316666666666666,18.616666666666667,19.533333333333335,5.466666666666667,1,1.456733998754257
An Giang,2024-05-24,26.9,0.6679164221700401,0.48214500502277235,-0.07316836017785806,0.3440173643863852,5.25,18.116666666666667,18.916666666666668,5.45,1,1.456733998754257
Kien Giang,2024-05-24,7.7,0.6679164221700401,0.14798545947026398,-1.167285161044485,-2.5775401995964855,5.766666666666667,21.133333333333333,22.766666666666666,5.766666666666667,1,1.456733998754257
